ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.06,0.0,0.056,0.124,0.76
2,0.512,0.0,0.008,0.38,0.1
3,0.404,0.0,0.032,0.292,0.272
4,0.232,0.0,0.04,0.196,0.532
5,0.468,0.0,0.012,0.392,0.128
6,0.228,0.004,0.04,0.544,0.184
7,0.428,0.012,0.108,0.136,0.316
8,0.636,0.0,0.016,0.064,0.284
9,0.656,0.0,0.004,0.216,0.124
10,0.256,0.0,0.16,0.52,0.064
11,0.604,0.0,0.004,0.184,0.208
12,0.056,0.0,0.132,0.308,0.504
13,0.664,0.0,0.024,0.104,0.208
14,0.92,0.0,0.004,0.004,0.072
15,0.808,0.0,0.004,0.136,0.052
16,0.82,0.0,0.0,0.104,0.076
17,0.412,0.0,0.04,0.436,0.112
18,0.408,0.0,0.012,0.436,0.144
19,0.204,0.004,0.052,0.216,0.524
20,0.028,0.0,0.192,0.008,0.772
21,0.624,0.0,0.008,0.168,0.2
22,0.0,0.0,0.004,0.0,0.996
23,0.684,0.0,0.06,0.148,0.108
24,0.0,0.004,0.036,0.0,0.96
25,0.704,0.0,0.004,0.22,0.072
26,0.26,0.064,0.192,0.052,0.432
27,0.804,0.004,0.008,0.052,0.132
28,0.06,0.064,0.272,0.016,0.588
29,0.272,0.0,0.12,0.428,0.18
30,0.328,0.0,0.004,0.612,0.056
31,0.22,0.008,0.044,0.092,0.636
32,0.748,0.0,0.012,0.064,0.176
33,0.3,0.016,0.18,0.068,0.436
34,0.848,0.012,0.0,0.12,0.02
35,0.464,0.02,0.04,0.004,0.472
36,0.484,0.004,0.024,0.196,0.292
37,0.076,0.012,0.064,0.004,0.844
38,0.82,0.0,0.008,0.104,0.068
39,0.272,0.0,0.06,0.452,0.216
40,0.368,0.0,0.024,0.036,0.572
41,0.164,0.004,0.04,0.24,0.552
42,0.016,0.028,0.04,0.0,0.916
43,0.48,0.0,0.036,0.096,0.388
44,0.004,0.036,0.008,0.0,0.952
45,0.256,0.0,0.272,0.028,0.444
46,0.416,0.004,0.04,0.072,0.468
47,0.376,0.02,0.048,0.204,0.352
48,0.528,0.0,0.02,0.2,0.252
49,0.296,0.0,0.048,0.42,0.236
50,0.096,0.0,0.036,0.344,0.524
51,0.4,0.1,0.056,0.008,0.436
52,0.24,0.0,0.036,0.58,0.144
53,0.94,0.0,0.0,0.016,0.044
54,0.076,0.012,0.02,0.0,0.892
55,0.116,0.012,0.332,0.044,0.496
56,0.54,0.0,0.036,0.216,0.208
57,0.532,0.0,0.024,0.38,0.064
58,0.0,0.004,0.04,0.0,0.956
59,0.0,0.0,0.0,0.0,1.0
60,0.652,0.0,0.016,0.112,0.22
61,0.708,0.004,0.044,0.036,0.208
62,0.164,0.0,0.176,0.336,0.324
63,0.464,0.004,0.02,0.2,0.312
64,0.0,0.008,0.012,0.0,0.98
65,0.0,0.0,0.004,0.0,0.996
66,0.736,0.004,0.0,0.204,0.056
67,0.992,0.0,0.0,0.0,0.008
68,0.14,0.0,0.1,0.404,0.356
69,0.364,0.0,0.044,0.432,0.16
70,0.0,0.0,0.0,0.0,1.0
71,0.036,0.004,0.036,0.008,0.916
72,0.86,0.0,0.012,0.068,0.06
73,0.0,0.004,0.056,0.0,0.94
74,0.48,0.0,0.004,0.248,0.268
75,0.016,0.008,0.04,0.016,0.92
76,0.352,0.132,0.088,0.024,0.404
77,0.704,0.0,0.004,0.028,0.264
78,0.012,0.0,0.02,0.008,0.96
79,0.16,0.004,0.016,0.676,0.144
80,0.888,0.0,0.04,0.028,0.044
81,0.024,0.032,0.148,0.0,0.796
82,0.0,0.004,0.008,0.0,0.988
83,0.484,0.0,0.004,0.432,0.08
84,0.0,0.008,0.072,0.008,0.912
85,0.44,0.0,0.036,0.4,0.124
86,0.044,0.04,0.168,0.008,0.74
87,0.068,0.0,0.188,0.48,0.264
88,0.432,0.004,0.112,0.284,0.168
89,0.012,0.008,0.208,0.008,0.764
90,0.676,0.0,0.02,0.076,0.228
91,0.0,0.0,0.092,0.0,0.908
92,0.0,0.0,0.008,0.0,0.992
93,0.736,0.0,0.008,0.028,0.228
94,0.54,0.0,0.0,0.26,0.2
95,0.02,0.0,0.02,0.0,0.96
96,0.784,0.0,0.024,0.148,0.044
97,0.568,0.0,0.028,0.256,0.148
98,0.0,0.0,0.0,0.0,1.0
